NOMBRE,TIPO_ENTIDAD,RELACIONADO_CON,TIPO_RELACION
Anis Zafer Nehme,persona,Gogold Resources Inc,shareholder
Ninepoint Partners Lp,empresa,Gogold Resources Inc,shareholder
Fmr Llc,empresa,Gogold Resources Inc,shareholder
Minas De Oroco Resources,empresa,,
Goldgroup Mining Inc,empresa,Minas De Oroco Resources,parent
Grupo Bareyo SA de CV,empresa,,
Pedro Antonio Goya Espina,persona,Grupo Bareyo SA de CV,shareholder
Eliseo Goya Espina,persona,Grupo Bareyo SA de CV,shareholder
Grupo Martinez Baltierrez,empresa,,
Buenavista del Cobre SA de CV,empresa,,
Southern Copper Corporation ,empresa,Buenavista del Cobre SA de CV,parent
Grupo Mexico SAB de CV,empresa,Southern Copper Corporation,parent
Empresarios Industriales De México SA De CV,empresa,Grupo Mexico SAB de CV,shareholder
German Larrea Mota-Velasco,persona,Grupo Mexico SAB de CV,shareholder
Invesco Ltd,empresa,Grupo Mexico SAB de CV,shareholder
Capital Research And Management Co,empresa,Grupo Mexico SAB de CV,shareholder
Blackrock Inc,empresa,Grupo Mexico SAB de CV,shareholder
Vanguard Group Inc,empresa,Grupo Mexico SAB de CV,shareholder
Minera Hochschild Mexico SA de CV,empresa,,
Hochschild Mining Plc,empresa,Minera Hochschild Mexico SA de CV,parent
Eduardo Hochschild Beeck,persona,Hochschild Mining Plc,shareholder
Blackrock Inc,empresa,Hochschild Mining Plc,shareholder
Van Eck Associates Corp,empresa,Hochschild Mining Plc,shareholder
Schroder Investment Management Ltd,empresa,Hochschild Mining Plc,shareholder
Vanguard Group Inc,empresa,Hochschild Mining Plc,shareholder
Barclays Bank Plc,empresa,Hochschild Mining Plc,shareholder
Konwave Ag,empresa,Hochschild Mining Plc,shareholder
Ruffer LLP,empresa,Hochschild Mining Plc,shareholder
Legal & General Investment Management Ltd,empresa,Hochschild Mining Plc,shareholder
Dimensional Fund Advisors LP,empresa,Hochschild Mining Plc,shareholder
Imr Metallurgical Resources Mexico,empresa,,
Imr Metallurgical Resources Ag,empresa,Imr Metallurgical Resources Mexico,parent
Compañia Fresnillo SA de CV,empresa,,
Exploraciones Mineras Parreña SA de CV,empresa,,
Minas Peñoles SA de CV,empresa,,
Minera Bismark SA de CV,empresa,,
Minera Pecobre SA de CV,empresa,,
Desarrollos Mineros El Aguila,empresa,,
Flobarco,empresa,,
Industrias Peñoles SAB de CV,empresa,Compañia Fresnillo SA de CV,parent
Industrias Peñoles SAB de CV,empresa,Exploraciones Mineras Parreña SA de CV,parent
Industrias Peñoles SAB de CV,empresa,Minas Peñoles SA de CV,parent
Industrias Peñoles SAB de CV,empresa,Minera Bismark SA de CV,parent
Industrias Peñoles SAB de CV,empresa,Minera Pecobre SA de CV,parent
Industrias Peñoles SAB de CV,empresa,Desarrollos Mineros El Aguila,parent
Industrias Peñoles SAB de CV,empresa,Flobarco,parent
Albacor SA De CV,empresa,Industrias Peñoles SAB de CV,shareholder
Alejandro Bailleres Gual,persona,Industrias Peñoles SAB de CV,shareholder
Blackrock Inc,empresa,Industrias Peñoles SAB de CV,shareholder
First Eagle Investment Management Llc,empresa,Industrias Peñoles SAB de CV,shareholder
Van Eck Associates Corp,empresa,Industrias Peñoles SAB de CV,shareholder
Vanguard Group Inc,empresa,Industrias Peñoles SAB de CV,shareholder
Mirae Asset Global Investments Co Ltd,empresa,Industrias Peñoles SAB de CV,shareholder
Dimensional Fund Advisors LP,empresa,Industrias Peñoles SAB de CV,shareholder
T Rowe Price Group Inc,empresa,Industrias Peñoles SAB de CV,shareholder
Geode Capital Management Llc,empresa,Industrias Peñoles SAB de CV,shareholder
Minera Tlali SAPI de CV,empresa,,
Minera Cascabel SA de CV ,empresa,,
Minera Tlali SAPI de CV,empresa,International Mineral Development & Exploration Inc ,parent
International Mineral Development & Exploration Inc ,empresa,Minera Cascabel SA de CV ,parent
Minera Teck SA de CV,empresa,Minera Tlali SAPI de CV,shareholder
Minera Piedra Azul SA de CV,empresa,Minera Tlali SAPI de CV,shareholder
Minera Mexital SA de CV,empresa,,
Mex Ital,empresa,Minera Mexital SA de CV,parent
Compañia Minera Mexivada,empresa,,
Mexivada Mining Corp,empresa,Compañia Minera Mexivada,parent
Mexus Gold Mining SA de CV,empresa,,
Mexus Gold Us,empresa,Mexus Gold Mining SA de CV,parent
Paul D Thompson Sr,persona,Mexus Gold Us,shareholder
Mexus Gold Mining SA de CV,empresa,Mexus Gold Us,shareholder
William James Mccreary,persona,Mexus Gold Us,shareholder
Minas del Rio Sonora SA de CV,empresa,,
Elda Lorena Rodríguez Celaya,persona,Minas del Rio Sonora SA de CV,shareholder
Francisco Navarro García,persona,Minas del Rio Sonora SA de CV,shareholder
Corex Global S de RL de CV,empresa,,
Minera Alamos Inc,empresa,Corex Global S de RL de CV,parent
Minera Ches Mex S de RL de CV,empresa,,
Minera Maria SA de CV ,empresa,,
Compañia Internacional Minera,empresa,,
Minera Frisco SAB de CV,empresa,Minera Maria SA de CV ,parent
Minera Frisco SAB de CV,empresa,Compañia Internacional Minera,parent
Carlos Slim Helu,persona,Minera Frisco SAB de CV,shareholder
Operadora Inbursa de Fondos de Inversión SA de CV Grupo Financiero Inbursa,empresa,Minera Frisco SAB de CV,shareholder
Minera Lear del Desierto SA de CV,empresa,,
Luis Edgardo Aganza Robles,persona,Minera Lear del Desierto SA de CV,shareholder
Maria Guadalupe Villegas Munguia,persona,Minera Lear del Desierto SA de CV,shareholder
Minera Vermillion,empresa,,
Minera Zampano S de RL de CV,empresa,,
Jorge Hernandez Velázquez,persona,Minera Zampano S de RL de CV,shareholder
Juan José Duarte Bravo,persona,Minera Zampano S de RL de CV,shareholder
Open Organization Solutions S de RL de CV,empresa,,
Oro Rico Ltd,empresa,,
Compañia Minera Dolores,empresa,,
Pan American Minerals Inc ,empresa,,
Minera Meridian Minerales S de RL de CV,empresa,,
Pan American Silver Corp,empresa,Compañia Minera Dolores,parent
Pan American Silver Corp,empresa,Pan American Minerals Inc ,parent
Pan American Silver Corp,empresa,Yamana Gold Inc,parent
Yamana Gold Inc,empresa,Minera Meridian Minerales S de RL de CV,parent
Van Eck Associates Corp,empresa,Pan American Silver Corp,shareholder
Blackrock Inc,empresa,Pan American Silver Corp,shareholder
Vanguard Group Inc,empresa,Pan American Silver Corp,shareholder
Fidelity International Ltd,empresa,Pan American Silver Corp,shareholder
Global X Management Co Llc,empresa,Pan American Silver Corp,shareholder
Mirae Asset Global Investments Co Ltd,empresa,Pan American Silver Corp,shareholder
Invesco Ltd,empresa,Pan American Silver Corp,shareholder
Slate Path Capital Lp,empresa,Pan American Silver Corp,shareholder
Connor Clark & Lunn Investment Management Ltd,empresa,Pan American Silver Corp,shareholder
Konwave Ag,empresa,Pan American Silver Corp,shareholder
Teachers Insurance And Annuity Association-College Retirement Equities Fund,empresa,Pan American Silver Corp,shareholder
Norges Bank Investment Management,empresa,Pan American Silver Corp,shareholder
Azvalor Asset Mgmt,empresa,Pan American Silver Corp,shareholder
Paget Southern Resources S de RL de CV,empresa,,
Recursos Millrock S de RL de CV,empresa,,
Riverside Resources Mexico SA de CV,empresa,,
Rrm Minas S de Rl de CV ,empresa,,
Riverside Resources Inc,empresa,Paget Southern Resources S de RL de CV,parent
Riverside Resources Inc,empresa,Recursos Millrock S de RL de CV,parent
Riverside Resources Inc,empresa,Riverside Resources Mexico SA de CV,parent
Riverside Resources Inc,empresa,Rrm Minas S de Rl de CV ,parent
John-Mark Gardner Staude,persona,Riverside Resources Inc,shareholder
Fuchs & Associes Finance Luxembourg Sa,empresa,Riverside Resources Inc,shareholder
Euro Pacific Asset Management Llc,empresa,Riverside Resources Inc,shareholder
Robert James Scott,persona,Riverside Resources Inc,shareholder
Arriva Management Inc,empresa,Riverside Resources Inc,shareholder
Roma Recursos de Mexico,empresa,,
Rome Resources Ltd,empresa,Roma Recursos de Mexico,parent
Compañia Minera La Llamarada SA de CV,empresa,,
Silvercrest Metals Inc,empresa,Compañia Minera La Llamarada SA de CV,parent
Van Eck Associates Corp,empresa,Silvercrest Metals Inc,shareholder
Sprott Inc,empresa,Silvercrest Metals Inc,shareholder
Gilder Gagnon Howe & Co Llc,empresa,Silvercrest Metals Inc,shareholder
Jupiter Fund Management Plc,empresa,Silvercrest Metals Inc,shareholder
Tidal Investments Llc,empresa,Silvercrest Metals Inc,shareholder
Mirae Asset Global Investments Co Ltd,empresa,Silvercrest Metals Inc,shareholder
Invesco Ltd,empresa,Silvercrest Metals Inc,shareholder
Maverick Mining Consultants Inc,empresa,Silvercrest Metals Inc,shareholder
Dz Bank Ag,empresa,Silvercrest Metals Inc,shareholder
Td Asset Management Inc,empresa,Silvercrest Metals Inc,shareholder
Solitario Mexico,empresa,,
Solitario Resources Corp,empresa,Solitario Mexico,parent
Edgepoint Investment Group Inc,empresa,Solitario Resources Corp,shareholder
Newmont Corp,empresa,Solitario Resources Corp,shareholder
Gil Atzmon,persona,Solitario Resources Corp,shareholder
Christopher Engle Herald,persona,Solitario Resources Corp,shareholder
Long Focus Capital Management Llc,empresa,Solitario Resources Corp,shareholder
James R Maronick,persona,Solitario Resources Corp,shareholder
Jacob Asset Management Of New York Llc,empresa,Solitario Resources Corp,shareholder
Vanguard Group Inc,empresa,Solitario Resources Corp,shareholder
Renaissance Technologies LLC,empresa,Solitario Resources Corp,shareholder
Walter H Hunt,persona,Solitario Resources Corp,shareholder
Minera Mar de Plata,empresa,,
Sonoro Metals Corp,empresa,Minera Mar de Plata,parent
Suimex Interprospekt De Mexico S de RL de CV,empresa,,
New Best International Mining Investment Group,empresa,,
Tianjin Binhai Harbor Port Int Trade,empresa,New Best International Mining Investment Group,parent
Minera Teck SA de CV,empresa,,
Teck Resources Limited,empresa,Minera Teck SA de CV,parent
China Investment Corp,empresa,Teck Resources Limited,shareholder
Dodge & Cox,empresa,Teck Resources Limited,shareholder
Vanguard Group Inc,empresa,Teck Resources Limited,shareholder
Davis Selected Advisers Lp,empresa,Teck Resources Limited,shareholder
Amundi Asset Management Sas,empresa,Teck Resources Limited,shareholder
Fidelity International Ltd,empresa,Teck Resources Limited,shareholder
RBC Global Asset Management Inc,empresa,Teck Resources Limited,shareholder
Boston Partners Global Investors Inc,empresa,Teck Resources Limited,shareholder
Soroban Capital Partners Lp,empresa,Teck Resources Limited,shareholder
Amundi Asset Management Us Inc,empresa,Teck Resources Limited,shareholder
Janus Henderson Group Plc,empresa,Teck Resources Limited,shareholder
Mackenzie Financial Corp,empresa,Teck Resources Limited,shareholder
Dimensional Fund Advisors LP,empresa,Teck Resources Limited,shareholder
Cibc Asset Management Inc,empresa,Teck Resources Limited,shareholder
Bmo Asset Management Corp,empresa,Teck Resources Limited,shareholder
Duquesne Family Office Llc,empresa,Teck Resources Limited,shareholder
Goldman Sachs Group Inc,empresa,Teck Resources Limited,shareholder
RBC Dominion Securities Inc,empresa,Teck Resources Limited,shareholder
Tierra Nuevo Mining Ltd,empresa,,
1832 Asset Management Lp,empresa,Tierra Nuevo Mining Ltd,shareholder
Minera Genminmex SA de CV,empresa,,
Gold Springs Resource Corp,empresa,Minera Genminmex SA de CV,parent
Antonio Canton,persona,Gold Springs Resource Corp,shareholder
Konwave Ag,empresa,Gold Springs Resource Corp,shareholder
Mackenzie Financial Corp,empresa,Gold Springs Resource Corp,shareholder
Canada Life Investment Management Ltd,empresa,Gold Springs Resource Corp,shareholder
Kevel Consulting Sa,empresa,Gold Springs Resource Corp,shareholder
Ig Investment Management Ltd,empresa,Gold Springs Resource Corp,shareholder
Catam Asset Management Ag,empresa,Gold Springs Resource Corp,shareholder
Tina M Woodside-Shaw,persona,Gold Springs Resource Corp,shareholder
Victor René Dario,persona,Gold Springs Resource Corp,shareholder
Malaspina Consultants Inc,empresa,Gold Springs Resource Corp,shareholder
Trinidad Pacifica S de RL de CV,empresa,,
